Test,Hipp,avg_T2,max_T2,Nclusters
(AD+MCI) > CN,R,2.03,12.91,1
(AD+MCI) > CN,L,2.01,12.96,1
(CN+MCI) > AD,R,2.14,13.94,1
(CN+MCI) > AD,L,1.57,10.33,1
AD>CN,R,1.95,11.94,1
AD>CN,L,1.94,12.6,1
AD>MCI,R,0.99,5.38,3
AD>MCI,L,1.02,6.26,5
AD>MCI>CN,R,1.95,12.66,1
AD>MCI>CN,R,1.96,12.66,1
AD>MCI>CN,L,1.94,13.09,1
APOE (Additive),R,0.75,4.26,1
APOE (Additive),R,0.74,4.26,1
APOE (Additive),L,0.81,4.28,1
APOE (Additive),L,0.8,4.28,1
APOE (Dominant),R,0.76,4.25,1
APOE (Dominant),R,0.75,4.25,1
APOE (Dominant),L,0.81,4.27,1
APOE (Recessive),R,0.75,4.19,1
APOE (Recessive),R,0.74,4.19,1
APOE (Recessive),L,0.79,4.79,1
APOE (Recessive),L,0.78,4.79,1
Age,R,2.12,15.44,1
Age,R,2.13,15.44,1
Age,L,1.96,15.2,1
HE>NC,R,0.73,3.81,0
HE>NC,R,0.74,3.81,0
HE>NC,L,0.71,3.38,0
HO>HE,R,0.74,3.79,0
HO>HE,R,0.73,3.79,0
HO>HE,L,0.74,4.48,1
HO>NC,R,0.76,4.39,1
HO>NC,L,0.83,4.77,1
HO>NC,L,0.82,4.77,1
MCI>CN,R,1.65,10.1,1
MCI>CN,R,1.64,10.1,1
MCI>CN,L,1.62,9.52,1
MCI>CN,L,1.61,9.52,1
Sex,R,1.71,10.16,1
Sex,L,1.65,10.07,1
Site,R,1.03,6.25,2
Site,L,0.89,5.79,3
Years of education,R,1.84,8.66,1
Years of education,L,1.59,8.61,2
apoe_or,R,0.72,4.32,1
apoe_or,L,0.75,4.48,1
